name,gender,origin
Ad,Girl,German
AJ,,Indian
Al,Girl,
An,Girl,"Greek, French"
Az,Boy,Hebrew
Absalom,Boy,Hebrew
Absolon,Boy,Hebrew
Abu,Boy,African
Acacia,Girl,Greek
Achille,Boy,Greek
Achilleo,Boy,Greek
Achilles,Boy,Greek
Achim,Boy,Hebrew
Achmet,Boy,Arabic
Acke,Boy,"Hebrew, Scandinavian"
Acksel,Boy,"Hebrew, Scandinavian"
Ada,Girl,German
Adah,Girl,Hebrew
Adair,Boy,"Irish, Scottish"
Adalbert,Boy,German
Adalberte,Girl,German
Adalbricht,Boy,German
Adalgunde,Girl,German
Adamina,Boy,Hebrew
Adamnan,Boy,Hebrew
Adamo,Boy,Hebrew
Adana,Boy,Hebrew
Adanna,Girl,African
Adão,Boy,Hebrew
Adda,Girl,German
Addeson,Both,English
Addie,Both,English
Addisson,Both,English
Addy,Both,English
Addyson,Both,English
Ade,Boy,African
Adeben,Boy,African
Adela,Girl,English
Adelaide,Girl,English
Adèle,Girl,"English, French"
Adelheid,Girl,English
Adelia,,German
Adelina,Girl,
Adelle,Girl,German
Adrienn,Girl,"Latin, English"
Adrienne,,"Latin, English"
Adrieyl,Boy,
Adrijana,Girl,"Latin, English"
Adrik,Boy,"Latin, English"
Adun,Boy,Hebrew
Adwen,Girl,Welsh
Adyn,Boy,Hebrew
Adysin,Both,English
Aeddan,Boy,Irish
Aelfraed,Boy,English
Aelwen,Boy,Welsh
Aelwyn,Boy,Welsh
Aeneas,Boy,Latin
Aeronwy,Girl,Welsh
Afonso,Boy,Italian
Afra,Girl,African
Africa,Both,Latin
Afton,Boy,Scottish
Agata,Girl,"Latin, English"
Agate,Both,Greek
Agatha,Girl,"Latin, English"
Agathe,Girl,"Latin, English"
Agda,Girl,"Greek, Scandinavian"
Aggie,Girl,Greek
Agnese,Girl,Greek
Agneta,Girl,"Greek, Scandinavian"
Agnete,Girl,"Greek, Scandinavian"
Agnetha,Girl,"Greek, Scandinavian"
Agostino,Boy,Latin
Agoston,Boy,Latin
Agot,Girl,"Latin, English"
Agota,Girl,"Latin, English"
Aguistin,Boy,Latin
Agustí,Boy,Latin
Ahab,Boy,Hebrew
Ahaba,Boy,Hebrew
Aharon,Boy,"Arabic, Hebrew"
Ahava,Girl,Hebrew
Ahearn,Boy,Scottish
Ahimsa,Both,"Hindu, Indian"
Ahmed,,Arabic
Ahmik,Boy,
Ahren,Boy,"Arabic, Hebrew"
Ahuva,Girl,Hebrew
Aidan,Boy,Irish
Aidenne,Girl,"Latin, English"
Aidin,Boy,"Hebrew, Irish"
Aidrian,Boy,"Latin, English"
Aidyn,Boy,"Hebrew, Irish"
Aiken,Boy,English
Aiko,Girl,Japanese
Aislinn,Girl,Irish
Aissha,,Arabic
Aitar,Boy,
Aiyleen,Girl,Irish
Aizik,Boy,Hebrew
Ajana,Girl,Native American
Ajani,Boy,African
Ajay,Boy,"Hindu, Indian"
Akamu,Boy,Hebrew
Akando,Both,Native American
Akanke,Girl,African
Akash,Boy,"Hindu, Indian"
Alben,Boy,Latin
Albera,,"Latin, Italian"
Albertina,Girl,
Alberto,Boy,German
Albie,Boy,English
Albin,Boy,"Latin, Polish, Scandinavian"
Albina,Girl,Latin
Albinka,Both,Latin
Albricht,Boy,German
Alby,Boy,German
Alcander,Boy,Greek
Alcott,Both,English
Alda,Girl,English
Aldan,Boy,English
Aldea,Both,German
Alder,Boy,English
Aldercy,Girl,English
Alexandria,Girl,Greek
Alexandrina,,Greek
Alexis,Girl,
Alfredo,Boy,English
Alfy,Boy,English
Alger,Boy,German
Algernon,Boy,English
Algie,Boy,English
Algy,Boy,English
Alia,Girl,Arabic
Alicia,Girl,"French, German"
Alida,Girl,Latin
Alijah,Boy,Arabic
Alijana,Girl,"French, Irish"
Alika,Girl,"French, German"
Alike,Girl,African
Aliki,Girl,"French, German"
Aline,Girl,"Arabic, French"
Alisa,Girl,"French, German"
Alisan,Girl,"French, German"
Alise,Girl,"French, German"
Alisha,Girl,"French, German, Indian"
Alissa,Girl,"French, German"
Alistair,Boy,Scottish
Alister,Boy,Scottish
Alita,Girl,Spanish
Alix,Girl,"French, German"
Aliya,Girl,Arabic
Aliyah,Girl,Arabic
Alizah,Girl,Hebrew
Allan,Boy,"English, Scottish"
Allana,Girl,"French, Irish"
Allard,Boy,German
Allayna,Girl,"French, Irish"
Allba,Girl,"Latin, Italian"
Allegra,Girl,"English, Italian"
Allen,Boy,"English, Scottish"
Alley,Boy,Arabic
Allie,Boy,Arabic
Allison,Girl,"French, German"
Allisyn,Girl,"French, German"
Ally,,"French, German"
Allyiah,Girl,
Allysin,Girl,"French, German"
Allyson,Girl,"French, German"
Almah,Girl,"English, Spanish"
Almar,Boy,German
Almer,Girl,"English, Spanish"
Almira,Girl,Arabic
Almma,Girl,"English, Spanish"
Alodie,Girl,English
Alonzo,Boy,"German, Spanish"
Aloysia,Girl,German
Alphie,Boy,Italian
Alphonse,Boy,Italian
Alston,Boy,English
Altair,Both,Greek
Althea,Girl,English
Alton,Boy,English
Alula,Boy,Latin
Alumit,Both,Hebrew
Alva,Girl,Scandinavian
Alvar,Boy,"English, Scandinavian"
Alvara,Boy,"German, Spanish"
Alvarita,Boy,"German, Spanish"
Alvis,Boy,"English, Scandinavian"
Alvita,Girl,Latin
Alwyn,Boy,German
Aly,Boy,Arabic
Alya,Girl,Arabic
Alyce,Girl,"French, German"
Alycia,Girl,"French, German"
Alysa,Girl,"French, German"
Alyse,Girl,"French, German"
Alyson,Girl,Scottish
Alyssa,Girl,"French, German"
Alyssia,Girl,"French, German"
Ama,Girl,Latin
Amabel,Girl,Latin
Amadeus,Boy,"Latin, Italian"
Amadi,Both,African
Amadis,,Latin
Amado,Boy,
Amaia,Both,Spanish
Amalia,Girl,German
Amalie,Both,German
Aman,Boy,"Hindu, African, Indian"
Amana,Girl,Hebrew
Amandine,Both,Latin
Amandla,Both,African
Amarande,Both,Greek
Amarante,Girl,French
Amare,Girl,"Hebrew, African"
Amarian,Boy,Greek
Amarinus,Boy,Greek
Amaris,Girl,"Hebrew, African"
Amaryllis,Girl,Greek
Amate,Girl,Latin
Amato,Girl,Latin
Ambar,Both,"Hindu, Indian"
Ambika,Girl,"Hindu, Indian, Sanskrit"
Ambrelle,Girl,"Arabic, French"
Ambretta,Girl,"Arabic, French"
Ambroise,Boy,"Latin, English"
Ambros,Girl,"Latin, Greek"
Ambrose,Boy,"Latin, English"
Ambrosio,Girl,"Latin, Greek"
Ambroz,Boy,"Latin, English"
Ambrozy,Boy,"Latin, English"
Amdis,Both,Latin
Amédée,Boy,"Latin, Italian"
Amedeo,Boy,"Latin, Italian"
Ameena,Girl,Arabic
Ameer,Boy,"Arabic, Hebrew"
Ameera,Girl,Arabic
Amelka,Girl,German
Amena,Girl,Arabic
Amenah,Girl,Arabic
Amera,Girl,Arabic
Americah,Both,"Latin, English"
Amerigo,Both,"Latin, English"
Amerika,,"Latin, English"
Amery,Girl,
Amethyst,Girl,Greek
Ami,Girl,French
Amice,Girl,"Latin, English"
Amie,Girl,French
Amiel,Boy,Hebrew
Amiina,Girl,Russian
Amilia,Girl,German
Amin,Boy,Arabic
Aminta,Girl,English
Amirah,Boy,"Arabic, Hebrew"
Amiri,Boy,"Arabic, Hebrew"
Amissa,Both,Hebrew
Amit,Boy,"Latin, Hindu, Indian"
Amita,Girl,"Latin, English"
Amity,Girl,"Latin, English"
Amiyah,Girl,"Hindu, Indian"
Amos,Boy,Hebrew
Amparo,Girl,Spanish
Amsden,Both,English
Amya,Girl,"Hindu, Indian"
Anabella,Girl,Scottish
Anabelle,Girl,Scottish
Anahid,Girl,Spanish
Anaia,Girl,Hebrew
Anaiah,Girl,Hebrew
Anais,Girl,Spanish
Anaïs,Girl,"Greek, French"
Anamaria,Girl,Spanish
Anana,Girl,African
Ananda,Both,"Hindu, Indian, Sanskrit"
Anando,Both,African
Anara,Girl,Spanish
Anastacia,Girl,"Greek, Russian"
Anastashya,Girl,"Greek, Russian"
Anatole,Boy,Latin
Anatoli,Boy,Latin
Anayhi,Girl,Spanish
Ancelin,Girl,Latin
Anddrew,,Spanish
Andera,Boy,
Anderea,Both,Greek
Anders,Boy,Scandinavian
Anderssen,Boy,"English, Native American, Scandinavian"
Andersson,Boy,"English, Native American, Scandinavian"
Andi,Boy,French
Andie,Boy,French
Andra,Boy,French
Andraea,Both,Greek
András,Boy,French
Andreana,Girl,Latin
Andreia,Both,Greek
Andreus,Boy,Greek
Andrey,Boy,Russian
Andries,Boy,Greek
Andromeda,Girl,Greek
Andy,Both,Greek
Aneirin,Boy,Welsh
Anemone,Girl,Greek
Anezka,Girl,Russian
Angele,Girl,Greek
Angeles,Girl,Greek
Angelica,Girl,"English, Italian"
Angelico,Boy,"Latin, Italian"
Angeline,Girl,"English, Greek"
Angélique,Girl,"English, Italian"
Angelita,Girl,"English, Italian"
Angello,Girl,Greek
Angelo,Boy,Latin
Angeni,Both,Native American
Angharad,Girl,Welsh
Angie,Girl,"English, Italian"
Anikaa,Girl,Indian
Ania,Girl,Spanish
Anica,Girl,Scandinavian
Anieli,Boy,Greek
Anija,Girl,Spanish
Anijah,Girl,Hebrew
Anil,Boy,"Hindu, Indian"
Anila,,"Hindu, Indian, Sanskrit"
Anine,Girl,
Anisa,Girl,"Arabic, Hebrew"
Anish,Boy,"Hindu, Indian"
Anitra,Girl,"Hebrew, Scandinavian"
Anji,Girl,"English, Italian"
Anke,Girl,"Dutch, German, Scandinavian"
Anker,Boy,"Greek, Scandinavian"
