Location Name,Area,Country
Gyllyngvase,,England
Carbis Bay Beach,,England
Porthmeor St Ives,,England
Portreath,,England
Challaborough,,England
Porthtowan,,England
Blackpool Sands,,England
Breakwater Beach,,England
Broadsands Beach,,England
Great Western Newquay,,England
Preston Sands (Paignton),,England
Torre Abbey,,England
Oddicombe Beach,,England
Trevone Bay,,England
Teignmouth,,England
Polzeath,,England
Dawlish Warren,,England
Sandy Bay,,England
Weymouth,,England
Swanage,,England
Exmouth,,England
Sidmouth,,England
Shore Road - Sandbanks Poole,,England
Canford Cliffs Poole,,England
Branksome Chine Poole,,England
Alum Chine Bournemouth,,England
West Bay,,England
Southbourne Bournemouth,,England
Manor Steps Bournemouth,,England
Fishermans Walk Bournemouth,,England
West Wittering,,England
Beachlands - Hayling Island,,England
Widemouth Bay,,England
Brighton Beach,,England
Hove,,England
Crooklets Bude,,England
Westward Ho!,,England
Stone Bay,,England
Minnis Bay,,England
St Mildreds Bay,,England
Westbrook Bay Margate,,England
The Bay Margate,,England
Castlerock,,Northern Ireland
Cranfield Bay,,Northern Ireland
Downhill Strand,,Northern Ireland
Magilligan Strand - Benone,,Northern Ireland
Mill Strand Portrush,,Northern Ireland
Murlough,,Northern Ireland
The Strand Portstewart,,Northern Ireland
Tyrella Beach (Clough),,Northern Ireland
Whiterocks,,Northern Ireland
Aberdeen Ballroom Beach,Aberdeen City,Scotland
Balmedie Beach,Aberdeenshire,Scotland
Collieston,Aberdeenshire,Scotland
Cruden Bay,Aberdeenshire,Scotland
Fraserburgh Tigerhill,Aberdeenshire,Scotland
Fraserburgh Waters of Philorth,Aberdeenshire,Scotland
Inverboyndie Beach,Aberdeenshire,Scotland
Peterhead Lido,Aberdeenshire,Scotland
Stonehaven Beach,Aberdeenshire,Scotland
Montrose Seafront,Angus,Scotland
Carnoustie,Angus,Scotland
Arbroath,Angus,Scotland
Lunan Bay,Angus,Scotland
Monifieth,Angus,Scotland
East Haven,Angus,Scotland
Broughty Ferry,Dundee City,Scotland
Belhaven Bay,East Lothian,Scotland
Dunbar East,East Lothian,Scotland
Gullane Bents,East Lothian,Scotland
Longniddry Gosford Bay,East Lothian,Scotland
North Berwick Milsey Bay,East Lothian,Scotland
North Berwick West Beach,East Lothian,Scotland
Longniddry No 1 and 2 (Seton Sands),East Lothian,Scotland
Yellowcraig,East Lothian,Scotland
Aberdour Silversands,Fife,Scotland
Anstruther Billowness,Fife,Scotland
Burntisland Beach,Fife,Scotland
Crail Roome Bay,Fife,Scotland
Elie Harbour,Fife,Scotland
Elie Ruby Bay,Fife,Scotland
Kingsbarns Beach,Fife,Scotland
Kinghorn and Pettycur Bay,Fife,Scotland
Kirkcaldy Seafield,Fife,Scotland
Leven East,Fife,Scotland
St Andrews East Sands,Fife,Scotland
St Andrews West Sands,Fife,Scotland
Aberdour Black Sands,Fife,Scotland
Kinghorn Harbour,Fife,Scotland
Kirkcaldy Pathhead Sands,Fife,Scotland
Brora Beach,Highland,Scotland
Dornoch Beach,Highland,Scotland
Sango Sands,Highland,Scotland
Nairn Central,Highland,Scotland
Newton Beach Millport,North Ayrshire,Scotland
Coldingham,Scottish Borders,Scotland
Troon,South Ayrshire,Scotland
Maidens,South Ayrshire,Scotland
Prestwick,South Ayrshire,Scotland
Girvan,South Ayrshire,Scotland
Aberdaron Beach,,Wales
Abersoch,,Wales
Aberystwyth (North),,Wales
Aberystwyth (South),,Wales
Amroth,,Wales
Barmouth,,Wales
Benllech,,Wales
Borth,,Wales
Broadhaven,,Wales
Castle Beach Tenby,,Wales
Caswell Bay,,Wales
Coppet Hall,,Wales
Dale,,Wales
Dinas Dinlle,,Wales
Langland Bay,,Wales
Llanddona,,Wales
Llanddwyn Beach,,Wales
Llandudno - West Shore,,Wales
Llandudno North Shore,,Wales
Llanfairfechan,,Wales
Llangrannog,,Wales
Lydstep,,Wales
Morfa Bychan - Black Rock Sands,,Wales
New Quay - Harbour Beach,,Wales
Newgale Sands,,Wales
North Tenby,,Wales
Pembrey Beach - Llanelli,,Wales
Penmaenmawr,,Wales
Poppit Sands,,Wales
Port Eynon,,Wales
Porth Dafarch,,Wales
Porth Swtan (Church Bay),,Wales
Prestatyn Central,,Wales
Pwllheli,,Wales
Rest Bay Porthcawl,,Wales
Rhos-on-Sea Colwyn Bay,,Wales
Saundersfoot,,Wales
South Tenby,,Wales
Southerndown,,Wales
Trearddur Bay,,Wales
Trecco Bay Porthcawl,,Wales
Tresaith,,Wales
Whitesands,,Wales
Whitmore Bay (Barry),,Wales
An Trá Mór,,Ireland
Ardmore Bay,,Ireland
Ballinskelligs,,Ireland
Ballybunion Mens beach,,Ireland
Ballyheigue,,Ireland
Ballymoney,,Ireland
Banna Strand,,Ireland
Barleycove,,Ireland
Bertra,,Ireland
Brittas Bay,,Ireland
Brittas Bay (North),,Ireland
Bundoran,,Ireland
Cappagh,,Ireland
Carrickfinn,,Ireland
Carrowmore,,Ireland
Cill Muirbhthe,,Ireland
Clare Island,,Ireland
Clogherhead,,Ireland
Clonea,,Ireland
Councillors Strand,,Ireland
Courtown,,Ireland
Culdaff Bay,,Ireland
Curracloe,,Ireland
Derrynane,,Ireland
Dooega,,Ireland
Downings,,Ireland
Dugort,,Ireland
Dunmore Strand,,Ireland
Elly Bay,,Ireland
Fanore,,Ireland
Fenit,,Ireland
Garretstown,,Ireland
Garrylucas,,Ireland
Golden Strand,,Ireland
Greystones,,Ireland
Inch,,Ireland
Inchydoney,,Ireland
Keel,,Ireland
Keem,,Ireland
Kells,,Ireland
Kilkee,,Ireland
Killahoey Strand,,Ireland
Killiney,,Ireland
Lahinch,,Ireland
Magherabeg,,Ireland
Marble Hill,,Ireland
Morriscastle,,Ireland
Mullaghroe,,Ireland
Mulranny,,Ireland
Murvagh,,Ireland
Narin / Portnoo,,Ireland
Owenahincha,,Ireland
Port,,Ireland
Portmarnock,,Ireland
Ross,,Ireland
Rossbeigh,,Ireland
Rosses Point,,Ireland
Rosslare Strand,,Ireland
Rossnowlagh,,Ireland
Salthill,,Ireland
Seapoint,,Ireland
Shellinghill,,Ireland
Silverstrand,,Ireland
Spanish Point,,Ireland
Stroove,,Ireland
The Warren,,Ireland
Trá an Dóilín,,Ireland
Tragumna,,Ireland
Tramore,,Ireland
Traught,,Ireland
White Strand (Cahersiveen),,Ireland
White Strand (Miltown Malbay),,Ireland
Youghal Claycastle,,Ireland
Shoeburyness,,England
Thorpe Bay,,England
Shoebury East,,England
Three Shells (Southend),,England
Southend - Westcliff Bay,,England
Brightlingsea,,England
Walton-on-the-Naze,,England
Dovercourt Bay,,England
Felixstowe South,,England
Sea Palling,,England
Mundesley,,England
Cromer,,England
East Runton,,England
West Runton,,England
Sheringham,,England
Skegness,,England
Sutton-on-Sea,,England
Mablethorpe Town,,England
Hornsea,,England
Scarborough North Bay,,England
Whitby,,England
Saltburn,,England
Roker (Whitburn South),,England
Seaburn Beach (Whitburn North),,England
King Edwards Bay (Tynemouth),,England
Long Sands South Tynemouth,,England
Cleethorpes,,England
